"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","122","Vila Souza","3/1/2020 - 3/31/2020, Every day, Daily Average",1893,1443,2483
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","123","Vila Terezinha","3/1/2020 - 3/31/2020, Every day, Daily Average",1480,1130,1938
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","124","Brasilândia","3/1/2020 - 3/31/2020, Every day, Daily Average",1334,1000,1779
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","125","Vila Morro Grande","3/1/2020 - 3/31/2020, Every day, Daily Average",1124,842,1499
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","126","Itaberaba","3/1/2020 - 3/31/2020, Every day, Daily Average",1134,846,1519
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","127","Freguesia do Ó","3/1/2020 - 3/31/2020, Every day, Daily Average",581,408,825
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","128","Carandiru","3/1/2020 - 3/31/2020, Every day, Daily Average",175,97,314
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","129","Santana","3/1/2020 - 3/31/2020, Every day, Daily Average",320,204,500
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","130","Zaki Narchi","3/1/2020 - 3/31/2020, Every day, Daily Average",204,112,370
"131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","131","Tietê","3/1/2020 - 3/31/2020, Every day, Daily Average",232,79,673
