"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/12/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1663,1214,2278,1356,1126,1634,1714,1280,2295,1721,1347,2199,1929,1439,2587,1283,894,1841
"01/13/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1830,1332,2512,1816,1395,2363,2531,1880,3408,1642,1327,2033,1696,1271,2263,1533,1158,2028
"01/14/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1777,1331,2370,1581,1233,2028,2253,1832,2772,1693,1347,2129,1785,1445,2204,1408,1087,1825
"01/15/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1915,1408,2605,1473,1339,1621,2472,2019,3025,2011,1542,2623,1704,1258,2309,1399,1173,1668
"01/16/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2192,1473,3263,1468,1176,1833,2920,2237,3812,2340,1740,3146,1739,1219,2480,1497,1118,2003
"01/17/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",2203,1396,3476,1620,1199,2188,3172,2243,4486,1811,1222,2684,3074,2370,3988,1595,1150,2212
"01/18/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1641,1257,2141,1598,1276,2000,1736,1430,2106,1516,1263,1821,1609,1290,2009,1753,1144,2684
"01/19/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1500,1057,2127,1368,1140,1641,1635,1241,2155,1444,1162,1794,1720,1309,2260,1292,701,2380
"01/20/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1650,1237,2201,1539,1197,1977,2310,1761,3031,1555,1256,1924,1593,1220,2078,1433,1138,1806
"01/21/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1680,1261,2239,1508,1231,1848,2350,1834,3010,1506,1229,1846,1864,1390,2499,1443,1150,1810
"01/22/2020","131","Rodoviaria Tiete, Terminal Rodoviário do Tietê - Vila Guilherme, São Paulo, São Paulo - SP","374","Aeroporto, Guarulhos, Guarulhos - SP",1671,1206,2317,1506,1203,1885,2417,2013,2902,1544,1168,2040,1726,1394,2137,1309,959,1788
